id_indiv,id_territoire,id_legis,id_mandat,id_inves,id_motif_deb,id_motif_fin,remporte,id_suppleant,date_deb,date_fin
PA605991,PO717650,15,1,,1,3,True,PA719432,2017-06-18,2022-06-21
PA605991,PO792920,16,1,,1,0,True,PA793600,2022-06-19,
PA475,PO230650,12,1,,1,3,True,PA267735,2002-06-19,2007-06-19
PA475,PO384482,13,1,,1,3,True,PA267735,2007-06-20,2012-06-19
PA721832,PO718216,15,1,,13,3,True,,2017-06-18,2022-06-21
PA720286,PO717966,15,1,,1,3,True,PA720290,2017-06-18,2022-06-21
PA720286,PO792066,16,1,,1,0,True,PA794370,2022-06-19,
PA307,PO230705,12,1,,1,3,True,PA267062,2002-06-19,2007-06-19
PA336175,PO718344,15,1,,1,3,True,PA721596,2017-06-18,2022-06-21
PA336175,PO644885,14,1,,1,7,True,PA346170,2012-06-20,2012-07-21
PA336175,PO644885,14,1,,10,3,True,PA346170,2012-06-20,2017-06-20
PA336175,PO384731,13,1,,1,7,True,PA346170,2007-06-20,2012-06-16
PA267306,PO718068,15,1,,1,3,True,PA720716,2017-06-18,2022-06-21
PA267306,PO230763,12,1,,1,3,True,PA267307,2002-06-19,2007-06-19
PA267306,PO384595,13,1,,1,3,True,PA267307,2007-06-20,2012-06-19
PA267306,PO792188,16,1,,1,0,True,PA794710,2022-06-19,
PA267306,PO644749,14,1,,1,3,True,PA642902,2012-06-20,2017-06-20
PA268035,PO230996,12,1,,21,3,True,PA293723,2003-06-01,2007-06-19
PA1971,PO230861,12,1,,1,3,True,PA267536,2002-06-19,2007-06-19
PA267460,PO384439,13,1,,4,6,True,,2007-06-20,2012-06-16
PA793716,PO792896,16,1,,1,0,True,PA793720,2022-06-19,
PA643053,PO644942,14,1,,4,6,True,,2012-06-20,2017-04-21
PA722320,PO718152,15,1,,1,3,True,PA722324,2017-06-18,2022-06-21
PA1030,PO230745,12,1,,1,3,True,PA933,2002-06-19,2007-06-19
PA718902,PO717486,15,1,,1,3,True,PA718906,2017-06-18,2022-06-21
PA794938,PO792268,16,1,,1,0,True,PA794942,2022-06-19,
PA334951,PO644795,14,1,,1,3,True,PA642917,2012-06-20,2017-06-20
PA334951,PO384641,13,1,,1,3,True,PA344947,2007-06-20,2012-06-19
PA2277,PO384465,13,1,,1,3,True,PA342675,2007-06-20,2012-06-19
PA2277,PO230633,12,1,,1,3,True,PA2021,2002-06-19,2007-06-19
PA2277,PO644619,14,1,,1,3,True,PA642819,2012-06-20,2017-06-20
PA2511,PO384799,13,1,,1,3,True,PA267980,2007-06-20,2012-06-19
PA2511,PO230967,12,1,,1,3,True,PA267980,2002-06-19,2007-06-19
PA722308,PO718166,15,1,,8,3,True,,2017-06-18,2022-06-21
PA722308,PO792282,16,1,,1,0,True,PA794990,2022-06-19,
PA342384,PO793076,16,1,,1,0,True,PA794018,2022-06-19,
PA267886,PO644968,14,1,,1,3,True,PA643109,2012-06-20,2017-06-20
PA267886,PO230982,12,1,,1,3,True,PA267887,2002-06-19,2007-06-19
PA267886,PO384814,13,1,,1,3,True,PA267887,2007-06-20,2012-06-19
PA267138,PO230544,12,1,,4,3,True,,2002-06-19,2007-06-19
PA793528,PO792924,16,1,,4,0,True,,2022-06-19,
PA793500,PO792888,16,1,,1,0,True,PA793504,2022-06-19,
PA267662,PO384450,13,1,,1,3,True,PA342478,2007-06-20,2012-06-19
PA267662,PO230618,12,1,,1,3,True,PA267663,2002-06-19,2007-06-19
PA336439,PO718354,15,1,,1,3,True,PA722158,2017-06-18,2022-06-21
PA336439,PO644904,14,1,,1,3,True,PA346434,2012-06-20,2017-06-20
PA336439,PO384750,13,1,,1,3,True,PA346434,2007-06-20,2012-06-19
PA267110,PO384380,13,1,,4,6,True,,2007-06-20,2010-12-14
PA330909,PO384332,13,1,,1,3,True,PA340909,2007-06-20,2012-06-19
PA330909,PO717606,15,1,,1,3,True,PA719068,2017-06-18,2022-06-21
PA330909,PO792876,16,1,,1,0,True,PA793420,2022-06-19,
PA1226,PO384326,13,1,,1,3,True,PA1121,2007-06-20,2012-06-19
PA1226,PO644480,14,1,,1,3,True,PA642663,2012-06-20,2017-06-20
PA267689,PO384350,13,1,,1,3,True,PA267690,2007-06-20,2012-06-19
PA267689,PO644504,14,1,,1,3,True,PA642701,2012-06-20,2017-06-20
PA267689,PO230518,12,1,,1,3,True,PA267690,2002-06-19,2007-06-19
PA1568,PO230913,12,1,,1,3,True,PA266784,2002-06-19,2007-06-19
PA1568,PO384745,13,1,,1,3,True,PA266784,2007-06-20,2012-06-19
PA688,PO230943,12,1,,1,3,True,PA267938,2002-06-19,2007-06-19
PA2707,PO230780,12,1,,1,3,True,PA267925,2002-06-19,2007-06-19
PA2707,PO384612,13,1,,1,3,True,PA344567,2007-06-20,2012-06-19
PA2707,PO644766,14,1,,1,3,True,PA642888,2012-06-20,2017-06-20
PA2713,PO644957,14,1,,1,3,True,PA643040,2012-06-20,2017-06-20
PA2713,PO230971,12,1,,1,3,True,PA267820,2002-06-19,2007-06-19
PA2075,PO384829,13,1,,1,3,True,PA268037,2007-06-20,2012-06-19
PA2075,PO644980,14,1,,1,3,True,PA643099,2012-06-20,2017-06-20
PA2075,PO230997,12,1,,1,3,True,PA268037,2002-06-19,2007-06-19
PA719822,PO793078,16,1,,1,0,True,PA719826,2022-06-19,
PA719822,PO717820,15,1,,1,3,True,PA719826,2017-06-18,2022-06-21
PA331381,PO384370,13,1,,1,3,True,PA341381,2007-06-20,2012-06-19
PA720696,PO718012,15,1,,1,3,True,PA702053,2017-06-18,2022-06-21
PA720696,PO792116,16,1,,1,0,True,PA794554,2022-06-19,
PA793306,PO792624,16,1,,1,0,True,PA793310,2022-06-19,
PA333421,PO644676,14,1,,1,3,True,PA343420,2012-06-20,2017-06-20
PA333421,PO717970,15,1,,1,3,True,PA720294,2017-06-18,2022-06-21
PA333421,PO384522,13,1,,1,3,True,PA343420,2007-06-20,2012-06-19
PA333421,PO792086,16,1,,1,0,True,PA794374,2022-06-19,
PA267931,PO230799,12,1,,13,3,True,,2002-06-19,2007-06-19
PA2883,PO644479,14,1,,1,3,True,PA642662,2012-06-20,2017-06-20
PA2883,PO384325,13,1,,1,3,True,PA2944,2007-06-20,2012-06-19
